tid,label,day,hour,poi,price,rating,weather
127,6,Monday,13,Food,1,8.2,Clouds
127,6,Monday,19,Travel & Transport,-999,-999.0,Clouds
127,6,Monday,23,Travel & Transport,-999,-999.0,Clouds
127,6,Monday,23,Travel & Transport,-999,-999.0,Clouds
127,6,Tuesday,14,Residence,-999,-999.0,Clear
127,6,Tuesday,17,Travel & Transport,-999,-999.0,Clear
127,6,Tuesday,18,Travel & Transport,-999,-999.0,Clear
127,6,Tuesday,21,Travel & Transport,-999,-999.0,Clear
127,6,Tuesday,23,Travel & Transport,-999,-999.0,Clear
127,6,Thursday,0,Travel & Transport,-999,7.4,Clear
127,6,Thursday,0,Travel & Transport,-999,5.6,Clear
127,6,Thursday,1,Travel & Transport,-999,6.3,Clear
127,6,Thursday,1,Professional & Other Places,-999,-999.0,Clear
127,6,Thursday,3,Travel & Transport,-999,5.5,Clear
127,6,Thursday,3,Food,3,7.9,Clear
127,6,Thursday,3,Travel & Transport,-999,-999.0,Clear
127,6,Friday,18,Residence,-999,-999.0,Clear
127,6,Friday,22,Travel & Transport,-999,-999.0,Clouds
127,6,Saturday,23,Shop & Service,-999,-999.0,Clear
127,6,Sunday,20,Residence,-999,-999.0,Clouds
127,6,Sunday,21,Food,1,-999.0,Clouds
127,6,Sunday,23,Residence,-999,-999.0,Clouds
128,6,Monday,17,Travel & Transport,-999,-999.0,Clear
128,6,Monday,19,Outdoors & Recreation,-999,-999.0,Clear
128,6,Monday,20,Shop & Service,-999,7.5,Clear
128,6,Monday,20,Travel & Transport,-999,-999.0,Clear
128,6,Monday,21,Travel & Transport,-999,-999.0,Clear
128,6,Thursday,2,Travel & Transport,-999,5.5,Clear
128,6,Thursday,2,Outdoors & Recreation,-999,9.0,Clear
128,6,Thursday,2,Travel & Transport,-999,-999.0,Clear
128,6,Saturday,14,Residence,-999,-999.0,Clouds
128,6,Saturday,15,Travel & Transport,-999,-999.0,Clouds
128,6,Saturday,17,Professional & Other Places,-999,-999.0,Clouds
128,6,Saturday,18,Travel & Transport,-999,6.2,Clouds
128,6,Sunday,0,Residence,-999,-999.0,Clouds
128,6,Sunday,12,Travel & Transport,-999,-999.0,Fog
128,6,Sunday,13,Travel & Transport,-999,-999.0,Fog
128,6,Sunday,14,College & University,-999,-999.0,Fog
128,6,Sunday,20,Outdoors & Recreation,-999,-999.0,Clouds
