tid,label,day,hour,poi,lat,lon
3049,142,Friday,11,19959,38.7423688309,-90.365896225
3049,142,Friday,12,74884,38.78874595,-89.9520349333
3049,142,Friday,18,459541,41.8891025298,-87.6307575965
3049,142,Friday,19,65269,41.8904417122,-87.6239383221
3049,142,Friday,19,548089,41.89102077,-87.62351125
3049,142,Friday,20,28788,41.8947664136,-87.623847127
3049,142,Friday,21,237097,41.8920390506,-87.6244211197
3049,142,Saturday,14,459541,41.8891025298,-87.6307575965
3049,142,Saturday,15,11359,41.8882692679,-87.6354825497
3049,142,Saturday,15,296531,41.8889321908,-87.6340019703
3049,142,Saturday,17,12430,41.9479207274,-87.6558351517
3049,142,Saturday,20,12430,41.9479207274,-87.6558351517
3049,142,Saturday,20,521501,41.9476816667,-87.6566379333
3049,142,Saturday,20,403438,41.9473701325,-87.6544833183
3049,142,Saturday,21,201864,41.9469152897,-87.6542043686
3049,142,Saturday,23,36993,41.94073435,-87.65420355
3049,142,Sunday,1,514364,41.9301420878,-87.6434909933
3049,142,Sunday,15,1274808,41.893162217,-87.618120583
3049,142,Sunday,22,90620,41.7272476333,-88.0379258833
3049,142,Wednesday,1,9646,39.09154415,-94.5780801667
3049,142,Wednesday,22,156774,39.1095638631,-94.5719096141
3049,142,Thursday,7,9191,39.04183745,-94.5914053833
3049,142,Thursday,10,111106,38.9124658321,-94.6607351303
3049,142,Thursday,10,31230,38.9116310095,-94.6376895905
3049,142,Thursday,22,94573,39.084500669,-94.5841150612
3050,142,Saturday,12,8977,39.2974431129,-94.716053009
3050,142,Saturday,14,23523,29.9877985723,-95.3393554688
3050,142,Saturday,14,1213587,29.987062627,-95.340320585
3050,142,Saturday,18,12840,26.0711624187,-80.1420879364
3050,142,Sunday,1,186955,26.0338567,-80.1756619333
3050,142,Sunday,17,99406,26.052272052,-80.2126407623
3050,142,Monday,0,267610,26.052474465,-80.2107095718
3050,142,Monday,1,267640,26.0531202563,-80.2101409435
3050,142,Monday,19,12840,26.0711624187,-80.1420879364
3050,142,Monday,23,18643,35.2201261779,-80.9439504147
3050,142,Tuesday,2,8977,39.2974431129,-94.716053009
3050,142,Thursday,1,28529,41.4115138761,-81.839196682
3051,142,Friday,20,28529,41.4115138761,-81.839196682
3051,142,Friday,21,410236,41.4099057158,-81.8376739958
3051,142,Saturday,1,9212,39.0914997635,-94.5563542843
3051,142,Sunday,20,9646,39.09154415,-94.5780801667
3051,142,Monday,15,36694,39.0754547333,-94.5758796333
3051,142,Monday,17,17203,38.9798364667,-94.6327464667
3051,142,Monday,18,9191,39.04183745,-94.5914053833
3051,142,Monday,19,17526,39.0506711667,-94.5980687833
3051,142,Wednesday,3,96637,39.0937690318,-94.5831439181
3051,142,Wednesday,19,186273,39.08243725,-94.5818266135
3051,142,Thursday,16,130837,39.1088792333,-94.5703326167
3053,142,Friday,0,15684,38.8505371091,-77.0410251617
3053,142,Friday,23,75587,39.03269835,-77.5159924
3053,142,Saturday,15,387306,38.899073,-77.07292455
3053,142,Saturday,16,55430,38.8955754607,-77.0719349384
3053,142,Saturday,17,576884,39.01094685,-76.9114095833
3053,142,Saturday,18,307947,39.0223765,-76.9254046333
3053,142,Saturday,21,38702,38.9847659181,-76.5070939064
3053,142,Sunday,1,202231,38.9778001,-76.48673815
3053,142,Monday,12,484798,38.8764890333,-77.07328445
3053,142,Monday,14,24044,38.88361702,-77.0650577545
3053,142,Monday,14,190072,38.8763591357,-77.0726430416
3053,142,Monday,14,284527,38.88148955,-77.0712880333
3053,142,Monday,15,24048,38.8808895167,-77.0712543
3053,142,Monday,15,920726,38.8810780976,-77.0711946487
3053,142,Tuesday,16,15684,38.8505371091,-77.0410251617
3053,142,Tuesday,20,8977,39.2974431129,-94.716053009
3053,142,Wednesday,2,9646,39.09154415,-94.5780801667
3053,142,Thursday,2,34871,39.0877270667,-94.5885983833
3055,142,Friday,17,36694,39.0754547333,-94.5758796333
3055,142,Friday,23,20561,38.9791107178,-94.6303634644
3055,142,Saturday,0,202177,38.9573147556,-94.6456074715
3055,142,Sunday,17,12373,39.0513851526,-94.4804906845
3055,142,Monday,2,138974,39.0979413667,-94.5831009333
3055,142,Wednesday,12,8977,39.2974431129,-94.716053009
3055,142,Wednesday,15,22831,41.9780286285,-87.9036712646
3055,142,Wednesday,21,22831,41.9780286285,-87.9036712646
3055,142,Wednesday,21,572789,41.9784337833,-87.91084275
3055,142,Wednesday,23,8977,39.2974431129,-94.716053009
3055,142,Thursday,1,9646,39.09154415,-94.5780801667
3055,142,Thursday,4,9777,39.09853935,-94.5820283833
3056,142,Saturday,20,184224,38.9542652333,-94.6696790333
3056,142,Sunday,13,23782,39.0895805012,-94.5816029093
3056,142,Sunday,14,9268,39.0571153,-94.60515975
3056,142,Sunday,14,9858,39.05214785,-94.6045374833
3056,142,Sunday,18,13978,38.9718048901,-94.6074020863
3056,142,Monday,4,21611,39.0884965667,-94.5889389167
3056,142,Monday,11,417371,39.3155527,-94.6928667333
3056,142,Monday,12,8977,39.2974431129,-94.716053009
3056,142,Monday,14,28529,41.4115138761,-81.839196682
3056,142,Monday,18,24492,41.508500971,-81.6952103376
3056,142,Tuesday,16,28529,41.4115138761,-81.839196682
3056,142,Tuesday,16,410236,41.4099057158,-81.8376739958
3056,142,Tuesday,19,22831,41.9780286285,-87.9036712646
3056,142,Wednesday,13,554802,41.8782881022,-87.6258025336
3056,142,Thursday,1,64639,41.8941881033,-87.6338125753
3056,142,Thursday,14,314347,41.8821947925,-87.6258625407
3056,142,Thursday,16,22831,41.9780286285,-87.9036712646
3056,142,Thursday,16,1240644,41.978076879,-87.906621877
3056,142,Thursday,18,28529,41.4115138761,-81.839196682
3056,142,Thursday,21,41451,42.9731706167,-83.7379660667
3058,142,Friday,2,17676,39.0506113667,-94.5969479333
3058,142,Friday,3,391579,39.0520574333,-94.5913481333
3058,142,Saturday,0,83091,39.0754033,-94.6033091
3058,142,Saturday,13,22831,41.9780286285,-87.9036712646
3058,142,Saturday,13,811032,41.9812756333,-87.90638435
3058,142,Saturday,16,43875,41.8781185833,-87.6419416833
3058,142,Saturday,16,879082,41.8903030167,-87.6114757833
3058,142,Saturday,21,12430,41.9479207274,-87.6558351517
3058,142,Sunday,5,176563,41.8992555754,-87.6235799706
3058,142,Sunday,5,41630,41.8994365333,-87.6240701667
3058,142,Sunday,13,22831,41.9780286285,-87.9036712646
3058,142,Sunday,13,572789,41.9784337833,-87.91084275
3058,142,Sunday,16,9191,39.04183745,-94.5914053833
3058,142,Wednesday,10,8977,39.2974431129,-94.716053009
3058,142,Wednesday,12,22831,41.9780286285,-87.9036712646
3058,142,Wednesday,22,22831,41.9780286285,-87.9036712646
3058,142,Wednesday,22,1240644,41.978076879,-87.906621877
3064,142,Friday,18,22831,41.9780286285,-87.9036712646
3064,142,Friday,18,572789,41.9784337833,-87.91084275
3064,142,Friday,21,8977,39.2974431129,-94.716053009
3064,142,Friday,22,677365,39.1116411333,-94.5892139
3064,142,Saturday,0,156774,39.1095638631,-94.5719096141
3064,142,Saturday,3,21056,39.10797415,-94.5805412833
3064,142,Tuesday,11,8977,39.2974431129,-94.716053009
3064,142,Tuesday,13,23256,39.8495018818,-104.673871994
3064,142,Tuesday,16,23524,33.4357390069,-112.0011520386
3064,142,Tuesday,16,46947,33.4264267,-111.9386893667
3064,142,Thursday,5,13713,33.4349906333,-111.92555665
3064,142,Thursday,23,23524,33.4357390069,-112.0011520386
3065,142,Friday,3,8977,39.2974431129,-94.716053009
3065,142,Friday,16,10019,39.0416979667,-94.59059
